hf_index,nodes,edges,temporal_edges,similarity_edges,similarity_edges_per_node,segmentation_mode
338,7,36,12,24,3.4285714285714284,beat_2
339,9,52,16,36,4.0,beat_2
340,7,40,12,28,4.0,beat_2
341,7,36,12,24,3.4285714285714284,beat_2
342,8,46,14,32,4.0,beat_2
343,10,58,18,40,4.0,beat_2
344,8,46,14,32,4.0,beat_2
345,12,66,22,44,3.6666666666666665,beat_2
346,9,54,16,38,4.222222222222222,beat_2
347,10,60,18,42,4.2,beat_2
348,7,36,12,24,3.4285714285714284,beat_2
349,10,60,18,42,4.2,fixed_1s
350,11,62,20,42,3.8181818181818183,beat_2
351,10,62,18,44,4.4,beat_2
352,10,60,18,42,4.2,beat_2
353,6,30,10,20,3.3333333333333335,beat_2
354,5,20,8,12,2.4,beat_2
355,9,54,16,38,4.222222222222222,beat_2
356,9,54,16,38,4.222222222222222,beat_2
357,11,60,20,40,3.6363636363636362,beat_2
358,11,66,20,46,4.181818181818182,beat_2
359,8,46,14,32,4.0,beat_2
360,13,72,24,48,3.6923076923076925,beat_2
361,11,66,20,46,4.181818181818182,beat_2
362,11,56,20,36,3.272727272727273,beat_2
363,10,58,18,40,4.0,fixed_1s
364,9,54,16,38,4.222222222222222,beat_2
365,11,66,20,46,4.181818181818182,beat_2
366,11,64,20,44,4.0,beat_2
367,5,20,8,12,2.4,beat_2
368,13,78,24,54,4.153846153846154,beat_2
369,8,46,14,32,4.0,beat_2
370,11,68,20,48,4.363636363636363,beat_2
371,12,70,22,48,4.0,beat_2
372,7,40,12,28,4.0,beat_2
373,14,90,26,64,4.571428571428571,beat_2
374,15,86,28,58,3.8666666666666667,beat_2
375,13,80,24,56,4.3076923076923075,beat_2
376,7,38,12,26,3.7142857142857144,beat_2
377,10,60,18,42,4.2,beat_2
378,10,58,18,40,4.0,beat_2
379,8,44,14,30,3.75,beat_2
380,12,70,22,48,4.0,beat_2
381,7,36,12,24,3.4285714285714284,beat_2
382,9,50,16,34,3.7777777777777777,beat_2
383,11,64,20,44,4.0,beat_2
384,11,66,20,46,4.181818181818182,beat_2
385,11,64,20,44,4.0,beat_2
386,12,66,22,44,3.6666666666666665,beat_2
387,11,64,20,44,4.0,beat_2
388,8,42,14,28,3.5,beat_2
389,14,92,26,66,4.714285714285714,beat_2
390,14,86,26,60,4.285714285714286,beat_2
391,8,48,14,34,4.25,beat_2
392,7,40,12,28,4.0,beat_2
393,8,48,14,34,4.25,beat_2
394,8,46,14,32,4.0,beat_2
395,10,60,18,42,4.2,beat_2
396,8,46,14,32,4.0,beat_2
397,13,72,24,48,3.6923076923076925,beat_2
398,11,62,20,42,3.8181818181818183,beat_2
399,9,54,16,38,4.222222222222222,beat_2
400,10,56,18,38,3.8,fixed_1s
401,10,60,18,42,4.2,beat_2
