modality,embedding_dimension_1,embedding_dimension_2
audio,-2.05836,-12.059428
audio,45.652035,20.432566
audio,37.024864,-18.383492
audio,-15.139137,-24.92858
audio,4.9453425,-24.36577
audio,-18.101748,-39.327652
audio,-7.992041,-27.211414
audio,-18.483345,-43.843014
audio,-22.673126,-12.657801
audio,-14.245021,-31.873686
audio,63.296043,4.205181
audio,31.821346,35.10698
audio,45.16807,15.388585
audio,57.241516,5.872526
audio,-2.6428494,19.184063
audio,-15.983958,-2.8586245
audio,37.59895,29.819952
audio,-37.891056,-21.956139
audio,-22.280512,-8.521238
audio,-25.559853,-20.59963
audio,38.80268,-0.22067203
audio,2.0986419,11.263073
audio,-15.455312,-5.1526184
audio,19.95426,-4.3285236
audio,53.890316,-5.647229
audio,-21.082516,-36.83735
audio,44.703167,10.480273
audio,2.093305,-10.139815
audio,31.991035,12.880276
audio,3.2739835,-29.289469
audio,39.095398,16.192493
audio,32.813953,29.736656
audio,23.515026,-2.3091745
audio,-20.673937,-10.69849
audio,-41.040672,-22.968573
audio,0.5580077,-32.222927
audio,29.707047,-18.933828
audio,-17.878353,-5.126402
audio,8.149077,-9.617311
audio,9.846824,-35.034767
audio,-32.10942,-27.802067
audio,51.5928,7.9343615
audio,-9.70493,11.579737
audio,53.030895,6.983763
audio,10.938589,-5.425963
audio,13.906104,-2.7557945
audio,-15.45119,-35.10634
audio,-22.758303,-13.010531
audio,51.447884,7.3758254
audio,26.45147,-5.4520426
audio,-19.245993,-6.7821646
audio,-17.430243,-31.874342
audio,-3.641565,-3.3615975
audio,20.331495,-3.3251607
audio,9.508407,-19.20096
audio,-22.376865,-16.546545
audio,17.331696,-6.906566
audio,16.531092,-23.878302
audio,34.57959,9.651061
audio,-10.985416,-42.650513
audio,-38.50965,-25.11406
audio,20.078379,-20.16262
audio,19.155989,-13.812334
audio,-42.36282,-32.760498
audio,-5.944749,-8.406971
audio,-3.3591046,-3.174433
audio,28.080826,13.841571
audio,47.609386,10.595022
audio,57.289318,4.802222
audio,7.142873,-36.331623
audio,-25.952044,-12.041404
audio,30.214897,12.230385
audio,-2.4642448,-9.031042
audio,-23.265654,-13.881224
audio,24.523624,-28.658213
audio,-30.249577,-46.97217
audio,-1.5777334,-38.781063
audio,30.736874,25.851122
audio,-30.464499,-37.861355
audio,23.30578,39.455856
audio,-27.413273,-25.532593
audio,-33.206627,-29.09075
audio,24.190886,-20.295404
audio,17.82734,-1.1440613
audio,9.776276,14.193697
audio,-1.4205475,-31.605227
audio,41.325726,32.033234
audio,-36.93506,-39.076225
audio,30.276846,9.449242
audio,-10.4275875,-30.531136
audio,10.123134,-19.770576
audio,28.55072,-20.848057
audio,-26.729969,-40.740368
audio,47.62394,4.3106446
audio,-33.553585,-29.054857
audio,45.04234,20.32145
audio,17.655699,-24.555763
audio,38.82989,33.319794
audio,-40.593082,-25.984587
audio,-37.464725,-27.910675
audio,26.714636,-2.749566
audio,41.997303,-25.764286
audio,-18.287224,-8.025384
audio,-10.662788,-36.346867
audio,42.295574,-3.7684865
audio,12.60915,-18.32187
audio,-2.2849362,-10.854267
audio,-23.572105,-41.11258
audio,-11.004343,-24.284931
audio,30.04562,-12.746864
audio,37.90551,13.381213
audio,-32.54819,-35.578594
audio,36.497475,36.525387
audio,49.16124,9.703244
audio,-24.206354,-24.37883
audio,34.780846,30.425537
audio,-19.086357,-47.649258
audio,-38.215252,-24.122652
audio,16.699465,10.852057
audio,-7.367607,-47.631523
audio,-17.684566,-4.6832266
audio,-21.348806,-19.282108
audio,50.73885,9.021533
audio,-44.22513,-10.689908
audio,-16.447653,-33.45704
audio,4.9578085,-14.605767
audio,-9.108091,-1.9520272
audio,-41.391384,-26.499092
